Timestamp,Amount,Currency,Recipient
2024-06-17 13:59:08.985760,143.65,EUR,Amazon
2025-02-12 13:59:08.985760,592.41,GBP,Netflix
2025-04-03 13:59:08.985760,145.71,EUR,Amazon
2024-09-01 13:59:08.985760,426.35,USD,Amazon
2025-04-09 13:59:08.985760,251.08,CAD,Netflix
2025-02-09 13:59:08.985760,324.28,JPY,Uber
2025-07-21 13:59:08.985760,356.16,GBP,Starbucks
2024-10-19 13:59:08.985760,975.57,GBP,Starbucks
2024-09-11 13:59:08.985760,359.09,USD,Amazon
2024-05-31 13:59:08.985760,552.29,JPY,Uber
2024-03-03 13:59:08.985760,588.73,EUR,Uber
2025-01-01 13:59:08.985760,559.43,GBP,Uber
2024-11-06 13:59:08.985760,755.37,USD,
2024-03-17 13:59:08.985760,417.8,EUR,Starbucks
2024-07-04 13:59:08.985760,863.91,USD,Netflix
2024-10-23 13:59:08.985760,603.51,GBP,Starbucks
2025-06-22 13:59:08.985760,,GBP,Starbucks
2024-10-07 13:59:08.985760,604.09,CAD,Amazon
2024-06-11 13:59:08.985760,18.24,USD,Uber
2024-12-01 13:59:08.985760,259.8,EUR,Uber
2024-12-22 13:59:08.985760,866.73,EUR,Starbucks
2024-02-04 13:59:08.985760,167.02,USD,Spotify
2024-07-24 13:59:08.985760,722.19,CAD,Starbucks
2025-10-20 13:59:08.985760,392.39,GBP,Starbucks
2025-07-07 13:59:08.985760,639.84,CAD,Netflix
2024-10-28 13:59:08.985760,940.74,CAD,Uber
2025-06-17 13:59:08.985760,993.95,JPY,Netflix
2024-07-01 13:59:08.985760,367.58,USD,Amazon
2024-03-30 13:59:08.985760,321.27,EUR,Uber
2025-05-09 13:59:08.985760,278.6,JPY,Netflix
2025-03-07 13:59:08.985760,142.02,,Starbucks
2025-11-11 13:59:08.985760,862.32,EUR,Starbucks
2025-08-03 13:59:08.985760,615.13,USD,Uber
2025-03-28 13:59:08.985760,191.56,GBP,Starbucks
2025-11-07 13:59:08.985760,594.85,JPY,Netflix
2024-09-22 13:59:08.985760,928.97,GBP,Spotify
2025-04-29 13:59:08.985760,630.4,JPY,Netflix
2024-03-24 13:59:08.985760,886.9,EUR,Amazon
2023-12-13 13:59:08.985760,216.19,GBP,Uber
2024-06-18 13:59:08.985760,321.36,JPY,Netflix
2023-12-14 13:59:08.985760,260.07,CAD,Starbucks
2025-03-11 13:59:08.985760,847.72,GBP,Uber
2024-12-07 13:59:08.985760,115.11,EUR,Netflix
2025-07-28 13:59:08.985760,983.0,USD,Spotify
2025-04-19 13:59:08.985760,424.15,USD,Uber
2025-03-14 13:59:08.985760,460.5,USD,Spotify
2024-06-20 13:59:08.985760,846.93,GBP,Starbucks
2025-09-06 13:59:08.985760,620.58,USD,Netflix
2024-10-15 13:59:08.985760,601.38,CAD,Starbucks
2024-01-15 13:59:08.985760,670.0,JPY,Spotify
2024-01-17 13:59:08.985760,,,Spotify
2025-01-15 13:59:08.985760,988.38,EUR,Starbucks
2024-07-11 13:59:08.985760,833.91,JPY,Uber
2025-04-23 13:59:08.985760,186.5,JPY,Spotify
2024-12-06 13:59:08.985760,362.39,EUR,Uber
2024-04-08 13:59:08.985760,891.14,CAD,Amazon
2024-06-18 13:59:08.985760,511.98,EUR,Uber
2024-10-15 13:59:08.985760,402.14,CAD,Spotify
2025-08-16 13:59:08.985760,160.93,GBP,Starbucks
2024-05-27 13:59:08.985760,764.97,EUR,Spotify
2025-09-08 13:59:08.985760,471.37,JPY,Amazon
2024-02-26 13:59:08.985760,650.62,GBP,Netflix
2024-05-13 13:59:08.985760,175.02,JPY,Netflix
2024-12-13 13:59:08.985760,670.26,CAD,Spotify
2024-09-09 13:59:08.985760,619.98,EUR,Spotify
2025-03-01 13:59:08.985760,870.44,CAD,Uber
2024-04-05 13:59:08.985760,905.42,CAD,Starbucks
2025-07-11 13:59:08.985760,85.28,USD,Netflix
2025-10-17 13:59:08.985760,210.05,EUR,Uber
2024-05-04 13:59:08.985760,698.47,JPY,Uber
2024-07-06 13:59:08.985760,511.2,GBP,Amazon
2024-02-28 13:59:08.985760,330.25,JPY,Starbucks
2024-11-20 13:59:08.985760,720.42,USD,Spotify
2025-05-01 13:59:08.985760,395.41,EUR,Starbucks
2025-03-02 13:59:08.985760,22.71,CAD,Starbucks
2025-11-14 13:59:08.985760,184.98,EUR,Amazon
2025-02-07 13:59:08.985760,22.63,JPY,Amazon
2025-11-27 13:59:08.985760,795.41,EUR,Spotify
2025-11-19 13:59:08.985760,233.27,CAD,Spotify
2024-03-07 13:59:08.985760,539.83,JPY,Netflix
2025-03-25 13:59:08.985760,223.41,EUR,Uber
2024-03-19 13:59:08.985760,502.78,GBP,Uber
2025-12-04 13:59:08.985760,907.35,CAD,Netflix
2024-09-25 13:59:08.985760,681.26,CAD,Amazon
2024-10-28 13:59:08.985760,804.06,CAD,Uber
2024-09-26 13:59:08.985760,177.79,JPY,Uber
2024-07-24 13:59:08.985760,211.25,JPY,Uber
2024-05-02 13:59:08.985760,765.79,USD,Netflix
2024-02-02 13:59:08.985760,49.98,CAD,Amazon
2024-09-12 13:59:08.985760,346.45,EUR,Amazon
2024-09-30 13:59:08.985760,288.23,CAD,Spotify
2024-05-13 13:59:08.985760,917.95,EUR,Amazon
2025-03-28 13:59:08.985760,43.31,CAD,Uber
2025-01-22 13:59:08.985760,185.46,EUR,Netflix
2025-12-06 13:59:08.985760,352.67,EUR,Amazon
2025-10-03 13:59:08.985760,698.03,,Uber
2024-09-19 13:59:08.985760,88.2,GBP,Netflix
2024-03-24 13:59:08.985760,851.13,CAD,Starbucks
2024-07-05 13:59:08.985760,733.08,JPY,Amazon
2025-10-07 13:59:08.985760,35.57,CAD,Spotify
2025-11-25 13:59:08.985760,615.9,EUR,Spotify
2025-03-16 13:59:08.985760,30.16,JPY,Spotify
2025-06-08 13:59:08.985760,330.02,EUR,Amazon
2024-12-15 13:59:08.985760,601.76,EUR,Starbucks
2024-10-13 13:59:08.985760,965.42,USD,Starbucks
2025-06-17 13:59:08.985760,679.24,GBP,Starbucks
2025-09-18 13:59:08.985760,226.08,EUR,Starbucks
2025-10-26 13:59:08.985760,930.05,EUR,Spotify
2024-01-29 13:59:08.985760,754.74,USD,Netflix
2024-05-18 13:59:08.985760,311.12,JPY,Amazon
2025-09-24 13:59:08.985760,253.61,USD,Uber
2025-05-27 13:59:08.985760,476.49,CAD,Starbucks
2024-05-06 13:59:08.985760,664.05,JPY,Starbucks
2024-06-23 13:59:08.985760,291.58,CAD,Amazon
2025-05-23 13:59:08.985760,567.63,GBP,Starbucks
2024-10-15 13:59:08.985760,667.72,USD,Amazon
2024-04-29 13:59:08.985760,612.9,EUR,Spotify
2025-03-18 13:59:08.985760,280.51,CAD,Spotify
2025-02-10 13:59:08.985760,463.64,CAD,Spotify
2024-06-15 13:59:08.985760,579.91,EUR,Starbucks
2025-05-21 13:59:08.985760,193.41,USD,Uber
2025-07-18 13:59:08.985760,572.06,CAD,Amazon
2025-12-05 13:59:08.985760,944.46,USD,Spotify
2025-09-03 13:59:08.985760,61.64,EUR,Netflix
2025-09-09 13:59:08.985760,789.86,USD,Starbucks
2024-09-17 13:59:08.985760,216.79,USD,Spotify
2024-05-22 13:59:08.985760,402.0,JPY,Uber
2024-06-16 13:59:08.985760,255.88,JPY,Spotify
2024-04-17 13:59:08.985760,296.65,CAD,Amazon
2025-08-21 13:59:08.985760,305.07,CAD,Spotify
2025-04-10 13:59:08.985760,395.77,JPY,Spotify
2025-10-07 13:59:08.985760,252.06,GBP,Amazon
2025-09-03 13:59:08.985760,425.66,USD,Uber
2024-02-19 13:59:08.985760,350.91,,Uber
2024-04-23 13:59:08.985760,115.14,EUR,Starbucks
2025-04-24 13:59:08.985760,808.79,JPY,Starbucks
2025-07-24 13:59:08.985760,590.87,JPY,Amazon
2025-11-05 13:59:08.985760,352.32,CAD,Starbucks
2025-06-06 13:59:08.985760,146.72,USD,Uber
2024-09-13 13:59:08.985760,403.85,USD,Uber
2025-04-14 13:59:08.985760,695.4,USD,Amazon
2024-01-07 13:59:08.985760,70.65,GBP,Starbucks
2025-08-12 13:59:08.985760,366.03,CAD,Starbucks
2024-05-01 13:59:08.985760,765.33,EUR,Spotify
2025-03-13 13:59:08.985760,914.06,GBP,Amazon
2024-03-14 13:59:08.985760,561.37,CAD,Uber
2024-07-28 13:59:08.985760,697.1,EUR,Uber
2025-06-07 13:59:08.985760,444.27,EUR,Amazon
2024-10-14 13:59:08.985760,747.76,JPY,Amazon
2024-09-15 13:59:08.985760,534.81,CAD,Uber
2025-04-15 13:59:08.985760,212.27,CAD,Amazon
2024-03-02 13:59:08.985760,761.58,USD,Netflix
2024-02-19 13:59:08.985760,847.65,GBP,Netflix
2024-09-25 13:59:08.985760,407.86,USD,Netflix
2024-03-15 13:59:08.985760,31.2,USD,Spotify
2025-04-17 13:59:08.985760,781.34,GBP,Starbucks
2024-12-07 13:59:08.985760,100.42,USD,Spotify
2025-04-19 13:59:08.985760,99.93,CAD,Amazon
2025-01-20 13:59:08.985760,66.09,EUR,Spotify
2025-04-01 13:59:08.985760,690.78,CAD,Spotify
2025-07-19 13:59:08.985760,750.42,GBP,Netflix
2025-05-23 13:59:08.985760,323.37,EUR,Amazon
2024-09-22 13:59:08.985760,474.12,GBP,Starbucks
2025-04-06 13:59:08.985760,384.37,CAD,Starbucks
2025-11-21 13:59:08.985760,413.75,EUR,Starbucks
2025-01-25 13:59:08.985760,825.19,JPY,Starbucks
2025-03-22 13:59:08.985760,40.36,GBP,Uber
2025-07-09 13:59:08.985760,902.03,JPY,Spotify
2024-06-05 13:59:08.985760,317.14,CAD,Netflix
2024-12-22 13:59:08.985760,33.75,JPY,Spotify
2024-05-18 13:59:08.985760,507.9,CAD,Starbucks
2025-04-21 13:59:08.985760,198.74,JPY,Amazon
2025-10-12 13:59:08.985760,792.27,JPY,Amazon
2025-03-14 13:59:08.985760,967.92,GBP,Uber
2024-01-26 13:59:08.985760,359.19,USD,Netflix
2024-02-28 13:59:08.985760,392.95,EUR,Spotify
2024-02-21 13:59:08.985760,752.4,JPY,Uber
2025-01-16 13:59:08.985760,884.87,USD,Netflix
2024-01-06 13:59:08.985760,830.47,JPY,Amazon
2025-04-23 13:59:08.985760,867.18,JPY,Spotify
2024-07-09 13:59:08.985760,813.72,USD,Spotify
2024-05-27 13:59:08.985760,766.53,EUR,Uber
2025-11-13 13:59:08.985760,675.98,GBP,Amazon
2025-12-05 13:59:08.985760,806.87,GBP,Uber
2024-09-29 13:59:08.985760,89.56,USD,Uber
2024-11-28 13:59:08.985760,196.33,EUR,Amazon
2024-03-08 13:59:08.985760,945.34,JPY,Uber
2025-04-19 13:59:08.985760,502.54,GBP,Starbucks
2024-04-04 13:59:08.985760,558.14,EUR,Netflix
2025-04-20 13:59:08.985760,755.32,USD,Netflix
2024-12-21 13:59:08.985760,858.99,JPY,Spotify
2024-09-06 13:59:08.985760,853.0,EUR,Netflix
2024-09-13 13:59:08.985760,665.01,GBP,Spotify
2025-09-12 13:59:08.985760,638.11,USD,Amazon
2025-08-04 13:59:08.985760,336.13,GBP,Starbucks
2024-02-08 13:59:08.985760,72.3,USD,Netflix
2024-04-10 13:59:08.985760,348.26,EUR,Starbucks
2025-09-20 13:59:08.985760,701.67,JPY,Amazon
2025-03-01 13:59:08.985760,222.04,CAD,Netflix
2024-04-09 13:59:08.985760,45.84,GBP,Amazon
2024-07-07 13:59:08.985760,60.12,JPY,Uber
2024-03-11 13:59:08.985760,193.24,CAD,Starbucks
2024-07-28 13:59:08.985760,605.91,EUR,Netflix
2024-02-19 13:59:08.985760,344.73,EUR,Starbucks
2024-02-26 13:59:08.985760,637.54,JPY,Amazon
2024-01-21 13:59:08.985760,445.44,EUR,Starbucks
2024-01-20 13:59:08.985760,885.25,EUR,Netflix
2025-03-18 13:59:08.985760,394.42,CAD,Amazon
2025-01-05 13:59:08.985760,722.49,GBP,Starbucks
2025-08-16 13:59:08.985760,894.23,GBP,Uber
2024-10-20 13:59:08.985760,441.41,JPY,Spotify
2025-05-05 13:59:08.985760,28.95,USD,Spotify
2024-05-30 13:59:08.985760,950.11,USD,Spotify
2025-01-13 13:59:08.985760,592.96,CAD,Uber
2024-03-07 13:59:08.985760,482.92,USD,Uber
2024-11-25 13:59:08.985760,238.31,USD,Spotify
2024-04-13 13:59:08.985760,123.36,EUR,Spotify
2025-10-14 13:59:08.985760,870.92,JPY,Amazon
2024-03-01 13:59:08.985760,520.48,GBP,Starbucks
2023-12-16 13:59:08.985760,206.08,USD,Spotify
2025-01-08 13:59:08.985760,351.86,USD,Uber
2025-03-02 13:59:08.985760,410.79,JPY,Amazon
2024-02-16 13:59:08.985760,969.16,CAD,Uber
2024-10-12 13:59:08.985760,25.54,JPY,Uber
2024-05-09 13:59:08.985760,939.23,GBP,Amazon
2024-03-01 13:59:08.985760,857.19,USD,Spotify
2024-11-27 13:59:08.985760,726.03,CAD,Netflix
2025-02-16 13:59:08.985760,835.76,JPY,Spotify
2024-01-28 13:59:08.985760,885.2,JPY,Amazon
2025-10-14 13:59:08.985760,795.06,USD,Spotify
2024-10-03 13:59:08.985760,612.03,USD,Spotify
2025-06-11 13:59:08.985760,337.21,CAD,Amazon
2025-05-11 13:59:08.985760,702.19,GBP,Starbucks
2025-08-17 13:59:08.985760,373.17,USD,Amazon
2024-09-07 13:59:08.985760,22.26,GBP,Uber
2024-03-29 13:59:08.985760,213.87,CAD,Starbucks
2025-09-09 13:59:08.985760,951.48,USD,Amazon
2024-12-15 13:59:08.985760,654.09,CAD,Uber
2025-01-15 13:59:08.985760,274.09,GBP,Amazon
2025-08-09 13:59:08.985760,971.42,CAD,Starbucks
2024-05-03 13:59:08.985760,804.72,CAD,Uber
2024-10-22 13:59:08.985760,186.66,EUR,Netflix
2023-12-13 13:59:08.985760,821.9,JPY,Uber
2024-09-07 13:59:08.985760,233.75,EUR,Netflix
2024-03-30 13:59:08.985760,595.83,USD,Netflix
2024-01-20 13:59:08.985760,390.47,USD,Netflix
2024-07-22 13:59:08.985760,643.99,EUR,Starbucks
2025-10-31 13:59:08.985760,75.3,GBP,Spotify
2025-06-22 13:59:08.985760,78.77,CAD,Netflix
2025-09-30 13:59:08.985760,399.81,JPY,Uber
2025-08-16 13:59:08.985760,537.01,CAD,Amazon
2025-09-26 13:59:08.985760,567.01,EUR,Spotify
2024-12-17 13:59:08.985760,803.72,EUR,Uber
2025-06-18 13:59:08.985760,201.63,EUR,Netflix
2024-12-02 13:59:08.985760,542.45,CAD,Spotify
2025-03-23 13:59:08.985760,217.74,EUR,Netflix
2024-06-17 13:59:08.985760,954.32,GBP,Netflix
2025-09-12 13:59:08.985760,760.88,CAD,Spotify
2025-05-17 13:59:08.985760,574.16,USD,Spotify
2025-06-23 13:59:08.985760,445.6,USD,Netflix
2025-09-24 13:59:08.985760,554.39,EUR,Uber
2025-05-04 13:59:08.985760,519.74,USD,Uber
2025-12-02 13:59:08.985760,260.81,EUR,Uber
2025-09-13 13:59:08.985760,813.56,GBP,Amazon
2024-08-04 13:59:08.985760,854.31,CAD,Uber
2024-09-16 13:59:08.985760,627.55,EUR,Spotify
2024-05-07 13:59:08.985760,454.58,USD,Spotify
2024-04-11 13:59:08.985760,805.02,EUR,Spotify
2025-01-31 13:59:08.985760,888.69,JPY,Amazon
2025-11-30 13:59:08.985760,78.68,CAD,Starbucks
2025-02-15 13:59:08.985760,233.24,USD,Netflix
2024-04-01 13:59:08.985760,452.85,GBP,Netflix
2024-04-28 13:59:08.985760,488.47,USD,Uber
2024-04-05 13:59:08.985760,949.25,CAD,Amazon
2024-06-25 13:59:08.985760,680.7,EUR,Amazon
2024-10-29 13:59:08.985760,588.56,GBP,Amazon
2024-02-09 13:59:08.985760,641.16,USD,Netflix
2025-02-08 13:59:08.985760,992.24,JPY,Netflix
2024-10-20 13:59:08.985760,156.64,EUR,Starbucks
2024-04-14 13:59:08.985760,721.62,USD,Amazon
2025-01-18 13:59:08.985760,546.84,EUR,Spotify
2025-07-12 13:59:08.985760,79.23,GBP,Spotify
2024-09-13 13:59:08.985760,586.6,EUR,Netflix
2025-03-19 13:59:08.985760,184.1,JPY,Amazon
2024-12-22 13:59:08.985760,801.11,USD,Starbucks
2024-10-12 13:59:08.985760,314.09,EUR,Uber
2025-05-09 13:59:08.985760,959.2,JPY,Spotify
2024-07-07 13:59:08.985760,325.52,CAD,Netflix
2025-02-14 13:59:08.985760,446.44,CAD,Spotify
2025-04-26 13:59:08.985760,522.53,EUR,Uber
2024-06-25 13:59:08.985760,92.69,CAD,Amazon
2025-09-08 13:59:08.985760,897.51,GBP,Amazon
2025-11-27 13:59:08.985760,903.5,JPY,Amazon
2024-08-03 13:59:08.985760,129.62,GBP,Amazon
2025-10-28 13:59:08.985760,17.62,GBP,Amazon
2024-07-03 13:59:08.985760,513.0,EUR,Starbucks
2024-11-08 13:59:08.985760,403.86,USD,Netflix
2025-03-20 13:59:08.985760,39.64,GBP,Netflix
2025-03-09 13:59:08.985760,924.92,GBP,Spotify
2024-11-08 13:59:08.985760,664.42,USD,Amazon
2024-09-03 13:59:08.985760,72.51,EUR,Starbucks
2024-10-27 13:59:08.985760,257.45,USD,Spotify
2024-10-07 13:59:08.985760,853.0,JPY,Netflix
2024-01-27 13:59:08.985760,407.86,EUR,Amazon
2024-10-18 13:59:08.985760,619.14,CAD,Amazon
2024-02-09 13:59:08.985760,559.23,CAD,Starbucks
2024-10-23 13:59:08.985760,770.04,JPY,Spotify
2025-05-22 13:59:08.985760,359.03,EUR,Spotify
2025-01-29 13:59:08.985760,221.6,EUR,Starbucks
2024-03-23 13:59:08.985760,376.29,CAD,Uber
2025-11-10 13:59:08.985760,872.31,EUR,Starbucks
2024-10-24 13:59:08.985760,470.25,USD,Amazon
2025-04-16 13:59:08.985760,373.92,JPY,Amazon
2024-08-13 13:59:08.985760,67.29,USD,Amazon
2024-02-25 13:59:08.985760,593.08,USD,Netflix
2024-10-05 13:59:08.985760,706.69,USD,Amazon
2024-10-15 13:59:08.985760,786.6,CAD,Amazon
2024-02-25 13:59:08.985760,90.27,CAD,Uber
2025-10-04 13:59:08.985760,247.78,CAD,Uber
2024-12-09 13:59:08.985760,885.48,CAD,Spotify
2025-08-02 13:59:08.985760,228.76,JPY,Spotify
2023-12-29 13:59:08.985760,606.23,CAD,Netflix
2024-02-27 13:59:08.985760,134.49,JPY,Uber
2024-01-09 13:59:08.985760,760.18,CAD,Starbucks
2025-07-24 13:59:08.985760,759.46,USD,Spotify
2024-07-12 13:59:08.985760,146.32,CAD,Amazon
2025-02-28 13:59:08.985760,764.58,GBP,Amazon
2025-02-03 13:59:08.985760,737.77,JPY,Starbucks
2024-07-21 13:59:08.985760,969.2,JPY,Amazon
2024-07-25 13:59:08.985760,367.49,GBP,Netflix
2024-11-13 13:59:08.985760,856.64,CAD,Netflix
2025-06-02 13:59:08.985760,673.9,GBP,Starbucks
2025-02-04 13:59:08.985760,360.98,CAD,Starbucks
2025-10-15 13:59:08.985760,433.49,USD,Starbucks
2025-11-02 13:59:08.985760,41.47,EUR,Amazon
2024-12-14 13:59:08.985760,912.51,JPY,Netflix
2025-03-14 13:59:08.985760,385.62,JPY,Starbucks
2024-07-02 13:59:08.985760,374.8,JPY,Amazon
2024-03-08 13:59:08.985760,437.69,USD,Uber
2025-08-10 13:59:08.985760,702.31,GBP,Spotify
2025-12-05 13:59:08.985760,368.09,EUR,Starbucks
2024-11-25 13:59:08.985760,769.37,GBP,Netflix
2024-05-01 13:59:08.985760,459.09,CAD,Starbucks
2024-05-15 13:59:08.985760,16.76,CAD,Starbucks
2025-10-14 13:59:08.985760,814.4,USD,Netflix
2025-02-04 13:59:08.985760,979.33,JPY,Starbucks
2025-10-13 13:59:08.985760,416.39,CAD,Spotify
2025-06-21 13:59:08.985760,81.81,JPY,Netflix
2025-10-07 13:59:08.985760,848.27,USD,Spotify
2025-01-23 13:59:08.985760,607.78,GBP,Spotify
2024-04-19 13:59:08.985760,287.77,GBP,Netflix
2024-01-02 13:59:08.985760,415.09,EUR,Netflix
2025-12-06 13:59:08.985760,324.06,CAD,Amazon
2024-08-25 13:59:08.985760,655.44,JPY,Uber
2025-08-13 13:59:08.985760,909.54,EUR,Netflix
2025-10-28 13:59:08.985760,460.61,GBP,Spotify
2024-07-22 13:59:08.985760,772.97,EUR,Spotify
2024-03-07 13:59:08.985760,431.59,GBP,Amazon
2025-03-07 13:59:08.985760,611.42,EUR,Amazon
2025-10-30 13:59:08.985760,866.01,CAD,Uber
2025-09-03 13:59:08.985760,241.43,GBP,Netflix
2024-12-19 13:59:08.985760,452.71,JPY,Starbucks
2025-07-27 13:59:08.985760,700.06,GBP,Amazon
2025-02-12 13:59:08.985760,570.51,EUR,Uber
2024-04-17 13:59:08.985760,920.83,EUR,Spotify
2024-12-06 13:59:08.985760,156.39,GBP,Netflix
2024-03-25 13:59:08.985760,486.82,CAD,Uber
2025-05-30 13:59:08.985760,227.65,EUR,Spotify
2025-04-08 13:59:08.987206,463.98,GBP,Uber
2025-09-27 13:59:08.987206,559.23,JPY,Amazon
2025-06-10 13:59:08.987206,334.95,EUR,Spotify
2025-11-28 13:59:08.987206,283.21,GBP,Starbucks
2024-11-19 13:59:08.987206,977.7,JPY,Netflix
2025-01-28 13:59:08.987206,455.28,JPY,Starbucks
2024-09-25 13:59:08.987206,816.34,GBP,Starbucks
2024-03-17 13:59:08.987206,864.48,JPY,Netflix
2024-06-04 13:59:08.987206,11.82,USD,Netflix
2025-01-22 13:59:08.987206,491.74,CAD,Starbucks
2025-08-21 13:59:08.987206,400.45,CAD,Uber
2024-02-08 13:59:08.987206,220.88,JPY,Uber
2025-07-09 13:59:08.987206,793.41,GBP,Amazon
2025-07-16 13:59:08.987206,516.06,EUR,Uber
2024-05-06 13:59:08.987206,386.08,CAD,Starbucks
2024-09-28 13:59:08.987206,886.39,JPY,Spotify
2024-06-09 13:59:08.987206,893.07,JPY,Amazon
2024-09-05 13:59:08.987206,968.15,USD,Spotify
2024-09-29 13:59:08.987206,819.38,CAD,Spotify
2024-07-22 13:59:08.987206,940.64,CAD,Netflix
2023-12-20 13:59:08.987206,478.51,JPY,Amazon
2025-08-24 13:59:08.987206,10.5,JPY,Uber
2025-10-01 13:59:08.987206,645.22,GBP,Netflix
2024-07-27 13:59:08.987206,770.15,USD,Spotify
2025-08-08 13:59:08.987206,958.74,USD,Starbucks
2024-12-24 13:59:08.987206,26.97,GBP,Amazon
2024-12-21 13:59:08.987206,854.48,USD,Netflix
2025-11-11 13:59:08.987206,477.51,USD,Spotify
2024-01-30 13:59:08.987206,73.79,EUR,Starbucks
2024-11-20 13:59:08.987206,498.88,EUR,Uber
2025-01-04 13:59:08.987206,557.51,GBP,Spotify
2024-11-18 13:59:08.987206,110.53,USD,Spotify
2024-01-18 13:59:08.987206,754.32,CAD,Uber
2024-09-14 13:59:08.987206,673.49,CAD,Netflix
2025-04-06 13:59:08.987206,683.21,EUR,Starbucks
2024-03-01 13:59:08.987206,54.12,GBP,Starbucks
2024-08-18 13:59:08.987206,386.38,CAD,Amazon
2024-03-27 13:59:08.987206,140.28,JPY,Spotify
2025-07-01 13:59:08.987206,251.55,GBP,Netflix
2025-07-06 13:59:08.987206,911.76,JPY,Uber
2025-04-25 13:59:08.987206,337.57,EUR,Starbucks
2025-04-11 13:59:08.987206,46.16,CAD,Starbucks
2025-05-16 13:59:08.987206,416.62,JPY,Uber
2024-11-24 13:59:08.987206,464.76,CAD,Amazon
2025-04-01 13:59:08.987206,416.87,JPY,Spotify
2024-01-12 13:59:08.987206,501.69,JPY,Amazon
2025-06-21 13:59:08.987206,136.97,JPY,Uber
2023-12-31 13:59:08.987206,937.12,CAD,Amazon
2025-07-20 13:59:08.987206,931.03,CAD,Starbucks
2025-03-10 13:59:08.987206,537.11,JPY,Spotify
2024-09-04 13:59:08.987206,652.69,USD,Netflix
2024-07-08 13:59:08.987206,574.73,EUR,Netflix
2024-11-16 13:59:08.987206,636.74,JPY,Netflix
2025-05-08 13:59:08.987206,767.99,GBP,Amazon
2024-01-24 13:59:08.987206,295.92,CAD,Uber
2025-12-02 13:59:08.987206,982.58,JPY,Starbucks
2025-04-21 13:59:08.987206,861.6,GBP,Spotify
2024-09-06 13:59:08.987206,309.58,JPY,Uber
2024-07-25 13:59:08.987206,520.14,CAD,Uber
2025-05-02 13:59:08.987206,528.87,JPY,Amazon
2025-05-25 13:59:08.987206,625.45,USD,Spotify
2025-09-12 13:59:08.987206,422.23,CAD,Starbucks
2024-05-28 13:59:08.987206,326.16,JPY,Spotify
2024-02-15 13:59:08.987206,170.13,JPY,Starbucks
2024-11-16 13:59:08.987206,472.29,JPY,Uber
2024-10-27 13:59:08.987206,615.51,GBP,Uber
2024-10-11 13:59:08.987206,236.54,GBP,Starbucks
2025-03-17 13:59:08.987206,571.03,JPY,Netflix
2025-07-01 13:59:08.987206,29.5,EUR,Spotify
2025-05-27 13:59:08.987206,703.25,USD,Uber
2024-07-11 13:59:08.987206,123.47,GBP,Netflix
2025-12-03 13:59:08.987206,915.42,JPY,Starbucks
2025-09-15 13:59:08.987206,181.08,USD,Spotify
2024-12-10 13:59:08.987206,360.42,JPY,Spotify
2025-06-14 13:59:08.987206,429.35,EUR,Spotify
2024-06-24 13:59:08.987206,717.79,JPY,Starbucks
2025-06-02 13:59:08.987206,323.91,CAD,Netflix
2024-12-19 13:59:08.987206,592.35,EUR,Uber
2024-06-15 13:59:08.987206,950.97,USD,Spotify
2024-08-30 13:59:08.987206,604.14,CAD,Starbucks
