Date,Rate,"ISO Code From","ISO Code To"
"10/25/2024 Friday",404.24521,EUR,HUF
"10/28/2024 Monday",404.23398,EUR,HUF
"10/29/2024 Tuesday",405.27337,EUR,HUF
"10/30/2024 Wednesday",407.65126,EUR,HUF
"10/31/2024 Thursday",408.55372,EUR,HUF
"11/1/2024 Friday",409.70914,EUR,HUF
"11/4/2024 Monday",408.07129,EUR,HUF
"11/5/2024 Tuesday",408.24737,EUR,HUF
"11/6/2024 Wednesday",409.80739,EUR,HUF
"11/7/2024 Thursday",404.72073,EUR,HUF
"11/8/2024 Friday",407.26780,EUR,HUF
"11/11/2024 Monday",410.25893,EUR,HUF
"11/12/2024 Tuesday",410.92547,EUR,HUF
"11/13/2024 Wednesday",407.91267,EUR,HUF
"11/14/2024 Thursday",406.44431,EUR,HUF
"11/15/2024 Friday",408.29010,EUR,HUF
"11/18/2024 Monday",406.61252,EUR,HUF
"11/19/2024 Tuesday",408.78105,EUR,HUF
"11/20/2024 Wednesday",409.80063,EUR,HUF
"11/21/2024 Thursday",410.96244,EUR,HUF
"11/22/2024 Friday",411.51300,EUR,HUF
"11/25/2024 Monday",409.66883,EUR,HUF
"11/26/2024 Tuesday",410.66373,EUR,HUF
"11/27/2024 Wednesday",412.59385,EUR,HUF
