,DATE,TIME PERIOD,AT,BE,CY,DE,EE,ES,FI,FR,GR,HR,I9,IE,IT,LT,LU,LV,MT,NL,PT,SI,SK
29,1957-06-30,1957Q2,,,,,,,,5.4,,,,,,,,,,,,,
30,1957-09-30,1957Q3,,,,,,,,5.9,,,,,,,,,,,,,
31,1957-12-31,1957Q4,,,,,,,,4.6,,,,,,,,,,,,,
32,1958-03-31,1958Q1,,,,,,,,4.0,,,,,,,,,,,,,
33,1958-06-30,1958Q2,,,,,,,,3.7,,,,,,,,,,,,,
34,1958-09-30,1958Q3,,,,,,,,1.8,,,,,,,,,,,,,
35,1958-12-31,1958Q4,,,,,,,,1.8,,,,,,,,,,,,,
36,1959-03-31,1959Q1,,,,,,,,0.7,,,,,,,,,,,,,
37,1959-06-30,1959Q2,,,,,,,,1.6,,,,,,,,,,,,,
38,1959-09-30,1959Q3,,,,,,,,3.0,,,,,,,,,,,,,
39,1959-12-31,1959Q4,,,,,,,,5.2,,,,,,,,,,,,,
40,1960-03-31,1960Q1,,,,,,,,7.2,,,,,,,,,,,,,
41,1960-06-30,1960Q2,,,,,,,,8.4,,,,,,,,,,,,,
42,1960-09-30,1960Q3,,,,,,,,9.0,,,,,,,,,,,,,
43,1960-12-31,1960Q4,,,,,,,,7.5,,,,,,,,,,,,,
44,1961-03-31,1961Q1,,,,,,,,6.8,,,,,,,,,,,,,
45,1961-06-30,1961Q2,,,,,,,,4.8,,,,,,,,,,,,,
46,1961-09-30,1961Q3,,,,,,,,4.1,,,,,,,,,,,,,
47,1961-12-31,1961Q4,,,,,,,,4.8,,,,,,,,,,,,,
48,1962-03-31,1962Q1,,,,,,,,5.5,,,,,,,,,,,,,
49,1962-06-30,1962Q2,,,,,,,,6.5,,,,,,,,,,,,,
50,1962-09-30,1962Q3,,,,,,,,7.5,,,,,,,,,,,,,
51,1962-12-31,1962Q4,,,,,,,,6.8,,,,,,,,,,,,,
52,1963-03-31,1963Q1,,,,,,,,3.6,,,,,,,,,,,,,
53,1963-06-30,1963Q2,,,,,,,,6.6,,,,,,,,,,,,,
54,1963-09-30,1963Q3,,,,,,,,8.2,,,,,,,,,,,,,
55,1963-12-31,1963Q4,,,,,,,,6.7,,,,,,,,,,,,,
56,1964-03-31,1964Q1,,,,,,,,10.0,,,,,,,,,,,,,
57,1964-06-30,1964Q2,,,,,,,,6.6,,,,,,,,,,,,,
58,1964-09-30,1964Q3,,,,,,,,4.1,,,,,,,,,,,,,
59,1964-12-31,1964Q4,,,,,,,,5.8,,,,,,,,,,,,,
60,1965-03-31,1965Q1,,,,,,,,4.1,,,,,,,,,,,,,
61,1965-06-30,1965Q2,,,,,,,,4.7,,,,,,,,,,,,,
62,1965-09-30,1965Q3,,,,,,,,5.2,,,,,,,,,,,,,
63,1965-12-31,1965Q4,,,,,,,,5.4,,,,,,,,,,,,,
64,1966-03-31,1966Q1,,,,,,,,5.7,,,,,,,,,,,,,
65,1966-06-30,1966Q2,,,,,,,,5.5,,,,,,,,,,,,,
66,1966-09-30,1966Q3,,,,,,,,5.2,,,,,,,,,,,,,
67,1966-12-31,1966Q4,,,,,,,,4.2,,,,,,,,,,,,,
68,1967-03-31,1967Q1,,,,,,,,5.1,,,,,,,,,,,,,
69,1967-06-30,1967Q2,,,,,,,,4.6,,,,,,,,,,,,,
70,1967-09-30,1967Q3,,,,,,,,4.5,,,,,,,,,,,,,
71,1967-12-31,1967Q4,,,,,,,,5.0,,,,,,,,,,,,,
72,1968-03-31,1968Q1,,,,,,,,6.2,,,,,,,,,,,,,
73,1968-06-30,1968Q2,,,,,,,,-0.7,,,,,,,,,,,,,
74,1968-09-30,1968Q3,,,,,,,,6.3,,,,,,,,,,,,,
75,1968-12-31,1968Q4,,,,,,,,6.3,,,,,,,,,,,,,
76,1969-03-31,1969Q1,,,,,,,,4.4,,,,,,,,,,,,,
77,1969-06-30,1969Q2,,,,,,,,12.6,,,,,,,,,,,,,
78,1969-09-30,1969Q3,,,,,,,,5.6,,,,,,,,,,,,,
79,1969-12-31,1969Q4,,,,,,,,6.1,,,,,,,,,,,,,
80,1970-03-31,1970Q1,,,,,,,,6.7,,,,,,,,,,,,,
81,1970-06-30,1970Q2,,,,,,,,6.4,,,,,,,,,,,,,
82,1970-09-30,1970Q3,,,,,,,,6.0,,,,,,,,,,,,,
83,1970-12-31,1970Q4,,,,,,,,5.7,,,,,,,,,,,,,
84,1971-03-31,1971Q1,,,,,,,,5.8,,,,,,,,,,,,,
85,1971-06-30,1971Q2,,,,,,,,5.1,,,,,,,,,,,,,
86,1971-09-30,1971Q3,,,,,,,,5.3,,,,,,,,,,,,,
87,1971-12-31,1971Q4,,,,,,,,5.0,,,,,,,,,,,,,
88,1972-03-31,1972Q1,,,,,,,,4.6,,,,,,,,,,,,,
89,1972-06-30,1972Q2,,,,,,,,4.2,,,,,,,,,,,,,
90,1972-09-30,1972Q3,,,,,,,,4.3,,,,,,,,,,,,,
91,1972-12-31,1972Q4,,,,,,,,4.8,,,,,,,,,,,,,
92,1973-03-31,1973Q1,,,,,,,,5.6,,,,,,,,,,,,,
93,1973-06-30,1973Q2,,,,,,,,6.4,,,,,,,,,,,,,
94,1973-09-30,1973Q3,,,,,,,,6.6,,,,,,,,,,,,,
95,1973-12-31,1973Q4,,,,,,,,6.3,,,,,,,,,,,,,
96,1974-03-31,1974Q1,,,,,,,,6.0,,,,,,,,,,,,,
97,1974-06-30,1974Q2,,,,,,,,5.2,,,,,,,,,,,,,
98,1974-09-30,1974Q3,,,,,,,,4.7,,,,,,,,,,,,,
99,1974-12-31,1974Q4,,,,,,,,1.6,,,,,,,,,,,,,
100,1975-03-31,1975Q1,,,,,,,,-0.8,,,,,,,,,,,,,
101,1975-06-30,1975Q2,,,,,,,,-1.5,,,,,,,,,,,,,
102,1975-09-30,1975Q3,,,,,,,,-2.6,,,,,,,,,,,,,
103,1975-12-31,1975Q4,,,,,,,,1.3,,,,,,,,,,,,,
104,1976-03-31,1976Q1,,,,,,,,3.0,,,,,,,,,,,,,
105,1976-06-30,1976Q2,,,,,,,,4.4,,,,,,,,,,,,,
106,1976-09-30,1976Q3,,,,,,,,5.7,,,,,,,,,,,,,
107,1976-12-31,1976Q4,,,,,,,,4.2,,,,,,,,,,,,,
108,1977-03-31,1977Q1,,,,,,,,4.4,,,,,,,,,,,,,
109,1977-06-30,1977Q2,,,,,,,,3.4,,,,,,,,,,,,,
110,1977-09-30,1977Q3,,,,,,,,3.1,,,,,,,,,,,,,
111,1977-12-31,1977Q4,,,,,,,,3.2,,,,,,,,,,,,,
112,1978-03-31,1978Q1,,,,,,,,3.4,,,,,,,,,,,,,
113,1978-06-30,1978Q2,,,,,,,,4.2,,,,,,,,,,,,,
114,1978-09-30,1978Q3,,,,,,,,3.9,,,,,,,,,,,,,
115,1978-12-31,1978Q4,,,,,,,,4.3,,,,,,,,,,,,,
116,1979-03-31,1979Q1,,,,,,,,4.0,,,,,,,,,,,,,
117,1979-06-30,1979Q2,,,,,,,,3.4,,,,,,,,,,,,,
118,1979-09-30,1979Q3,,,,,,,,4.1,,,,,,,,,,,,,
119,1979-12-31,1979Q4,,,,,,,,3.3,,,,,,,,,,,,,
120,1980-03-31,1980Q1,,,,,,,,10.1,,,,,,,,,,,,,
121,1980-06-30,1980Q2,,,,,,,,8.7,,,,,,,,,,,,,
122,1980-09-30,1980Q3,,,,,,,,7.5,,,,,,,,,,,,,
123,1980-12-31,1980Q4,,,,,,,,6.9,,,,,,,,,,,,,
124,1981-03-31,1981Q1,,,,,,,,-0.4,,,,,,,,,,,,,
125,1981-06-30,1981Q2,,,,,,,,1.1,,,,,,,,,,,,,
126,1981-09-30,1981Q3,,,,,,,,1.7,,,,,,,,,,,,,
127,1981-12-31,1981Q4,,,,,,,,2.4,,,,,,,,,,,,,
128,1982-03-31,1982Q1,,,,,,,,2.8,,,,,,,,,,,,,
129,1982-06-30,1982Q2,,,,,,,,2.8,,,,,,,,,,,,,
130,1982-09-30,1982Q3,,,,,,,,2.0,,,,,,,,,,,,,
131,1982-12-31,1982Q4,,,,,,,,2.0,,,,,,,,,,,,,
132,1983-03-31,1983Q1,,,,,,,,1.6,,,,,,,,,,,,,
133,1983-06-30,1983Q2,,,,,,,,1.0,,,,,,,,,,,,,
134,1983-09-30,1983Q3,,,,,,,,1.2,,,,,,,,,,,,,
135,1983-12-31,1983Q4,,,,,,,,1.2,,,,,,,,,,,,,
136,1984-03-31,1984Q1,,,,,,,,1.3,,,,,,,,,,,,,
137,1984-06-30,1984Q2,,,,,,,,1.7,,,,,,,,,,,,,
138,1984-09-30,1984Q3,,,,,,,,2.2,,,,,,,,,,,,,
139,1984-12-31,1984Q4,,,,,,,,1.5,,,,,,,,,,,,,
140,1985-03-31,1985Q1,,,,,,,,1.3,,,,,,,,,,,,,
141,1985-06-30,1985Q2,,,,,,,,1.6,,,,,,,,,,,,,
142,1985-09-30,1985Q3,,,,,,,,1.6,,,,,,,,,,,,,
143,1985-12-31,1985Q4,,,,,,,,2.2,,,,,,,,,,,,,
144,1986-03-31,1986Q1,,,,,,,,2.2,,,,,,,,,,,,,
145,1986-06-30,1986Q2,,,,,,,,2.5,,,,,,,,,,,,,
146,1986-09-30,1986Q3,,,,,,,,2.5,,,,,,,,,,,,,
147,1986-12-31,1986Q4,,,,,,,,2.1,,,,,,,,,,,,,
148,1987-03-31,1987Q1,,,,,,,,1.9,,,,,,,,,,,,,
149,1987-06-30,1987Q2,,,,,,,,2.3,,,,,,,,,,,,,
150,1987-09-30,1987Q3,,,,,,,,2.4,,,,,,,,,,,,,
151,1987-12-31,1987Q4,,,,,,,,3.8,,,,,,,,,,,,,
152,1988-03-31,1988Q1,,,,,,,,5.0,,,,,,,,,,,,,
153,1988-06-30,1988Q2,,,,,,,,4.4,,,,,,,,,,,,,
154,1988-09-30,1988Q3,,,,,,,,5.0,,,,,,,,,,,,,
155,1988-12-31,1988Q4,,,,,,,,4.3,,,,,,,,,,,,,
156,1989-03-31,1989Q1,,,,,,,,4.3,,,,,,,,,,,,,
157,1989-06-30,1989Q2,,,,,,,,4.6,,,,,,,,,,,,,
158,1989-09-30,1989Q3,,,,,,,,4.4,,,,,,,,,,,,,
159,1989-12-31,1989Q4,,,,,,,,5.0,,,,,,,,,,,,,
160,1990-03-31,1990Q1,,,,,,,,3.8,,,,,,,,,,,,,
161,1990-06-30,1990Q2,,,,,,,,3.3,,,,,,,,,,,,,
162,1990-09-30,1990Q3,,,,,,,,2.8,,,,,,,,,,,,,
163,1990-12-31,1990Q4,,,,,,,,1.4,,,,,,,,,,,,,
164,1991-03-31,1991Q1,,,,,,,-5.9,1.4,,,,,,,,,,,,,
165,1991-06-30,1991Q2,,,,,,,-5.8,1.2,,,,,,,,,,,,,
166,1991-09-30,1991Q3,,,,,,,-5.6,1.0,,,,,,,,,,,,,
167,1991-12-31,1991Q4,,,,,,,-6.2,1.5,,,,,,,,,,,,,
168,1992-03-31,1992Q1,,,,2.2,,,-4.1,2.0,,,,,,,,,,,,,
169,1992-06-30,1992Q2,,,,2.0,,,-4.0,1.7,,,,,,,,,,,,,
170,1992-09-30,1992Q3,,,,1.9,,,-2.8,1.2,,,,,,,,,,,,,
171,1992-12-31,1992Q4,,,,0.2,,,-2.4,0.7,,,,,,,,,,,,,
172,1993-03-31,1993Q1,,,,-1.9,,,-2.5,-0.5,,,,,,,,,,,,,
173,1993-06-30,1993Q2,,,,-1.3,,,-1.6,-0.6,,,,,,,,,,,,,
174,1993-09-30,1993Q3,,,,-0.5,,,-0.2,-0.4,,,,,,,,,,,,,
175,1993-12-31,1993Q4,,,,-0.3,,,1.3,-0.2,,,,,,,,,,,,,
176,1994-03-31,1994Q1,,,,1.9,,,1.8,1.1,,,,,,,,,,,,,
177,1994-06-30,1994Q2,,,,2.5,,,2.9,2.1,,,,,,,,,,,,,
178,1994-09-30,1994Q3,,,,2.5,,,4.6,2.9,,,,,,,,,,,,,
179,1994-12-31,1994Q4,,,,3.7,,,6.5,3.6,,,,,,,,,,,,,
180,1995-03-31,1995Q1,,,,1.9,,,4.9,3.4,,,,,,,,,,,,,
181,1995-06-30,1995Q2,,,,2.1,,,6.8,3.0,,,,,,,,,,,,,
182,1995-09-30,1995Q3,,,,1.7,,,3.9,2.2,,,,,,,,,,,,,
183,1995-12-31,1995Q4,,,,0.6,,,1.4,1.2,,,,,,,,,,,,,
184,1996-03-31,1996Q1,2.6,1.1,3.1,0.3,0.7,2.5,4.1,1.5,2.6,7.4,1.4,8.0,8.0,5.8,4.3,-1.4,,,3.0,2.0,5.5
185,1996-06-30,1996Q2,2.1,1.4,0.2,0.9,3.4,2.5,2.2,1.0,2.3,6.7,1.4,8.1,7.8,2.5,-4.0,-1.3,,,3.2,2.2,4.9
186,1996-09-30,1996Q3,2.2,1.1,0.5,1.1,7.1,2.9,3.2,1.2,3.1,6.4,1.7,6.3,8.2,6.2,2.4,3.4,,,4.1,3.2,7.0
187,1996-12-31,1996Q4,1.4,1.6,1.8,1.9,8.1,2.6,5.2,1.7,3.6,4.0,2.0,6.3,6.9,4.4,3.0,7.9,,,3.6,4.3,7.1
188,1997-03-31,1997Q1,2.7,3.1,0.7,2.2,11.0,3.0,4.5,1.4,3.6,1.9,2.1,7.3,0.3,5.6,2.2,7.4,,4.4,4.7,4.5,6.3
189,1997-06-30,1997Q2,1.6,3.9,1.8,1.9,13.6,3.3,5.4,2.3,4.8,6.2,2.6,9.6,1.7,8.8,11.2,13.3,,4.2,4.2,5.7,6.7
190,1997-09-30,1997Q3,1.8,4.2,4.0,1.9,13.2,3.6,7.3,2.9,5.0,11.0,2.9,12.4,2.0,8.7,4.4,10.9,,4.2,4.2,5.2,5.8
191,1997-12-31,1997Q4,2.8,4.0,4.1,1.8,14.4,4.5,8.3,3.5,4.9,5.1,3.4,12.8,3.9,10.1,4.2,5.7,,4.8,4.6,4.3,3.2
192,1998-03-31,1998Q1,2.8,3.3,5.5,3.2,11.2,4.3,6.2,4.1,5.6,3.2,3.8,10.0,3.0,9.7,4.7,11.5,,5.4,4.4,3.9,4.2
193,1998-06-30,1998Q2,4.1,2.0,6.7,1.6,6.2,4.5,6.6,3.7,4.3,1.4,3.0,8.8,2.0,9.5,7.0,6.6,,4.8,5.0,2.5,2.7
194,1998-09-30,1998Q3,3.5,1.5,6.6,1.7,3.4,4.4,5.6,3.2,3.0,1.8,2.7,10.9,1.7,6.9,7.7,8.8,,4.2,4.8,2.5,0.1
195,1998-12-31,1998Q4,3.4,1.1,5.6,1.0,-1.8,4.0,3.5,2.9,2.8,2.9,2.0,6.5,-0.1,4.8,7.1,0.2,,3.8,5.1,2.9,8.4
196,1999-03-31,1999Q1,3.0,1.9,5.1,1.2,-3.2,4.1,6.0,2.6,2.4,0.4,2.3,10.0,0.8,1.5,9.2,1.2,,4.3,4.8,3.5,2.8
197,1999-06-30,1999Q2,3.0,3.0,4.2,1.5,-1.8,4.2,4.5,2.6,2.9,0.9,2.4,8.4,0.6,-0.1,7.6,-1.1,,4.7,3.9,7.5,1.0
198,1999-09-30,1999Q3,4.3,4.1,4.5,2.4,-0.8,4.6,3.6,3.5,2.9,-2.0,3.1,8.6,1.6,-2.8,8.5,-0.5,,5.2,3.6,4.4,1.2
199,1999-12-31,1999Q4,4.3,5.1,6.1,2.9,3.8,4.7,3.5,4.3,3.7,-2.1,3.9,13.4,3.4,-2.8,7.5,11.1,,5.6,3.4,4.9,-6.4
200,2000-03-31,2000Q1,3.4,4.8,6.0,3.3,8.5,5.3,4.9,4.6,3.3,3.9,4.2,8.4,4.2,0.8,10.0,6.3,,4.6,4.4,5.1,-2.1
201,2000-06-30,2000Q2,3.7,4.1,7.8,4.2,10.3,5.4,5.2,5.0,3.3,1.0,4.6,10.5,4.5,1.6,6.4,7.4,,4.6,3.2,1.7,0.6
202,2000-09-30,2000Q3,3.4,3.1,5.7,2.9,10.5,5.1,6.3,4.3,4.8,3.2,3.9,8.5,4.3,4.6,5.3,6.6,,4.1,3.8,5.0,1.8
203,2000-12-31,2000Q4,3.2,2.9,4.3,2.0,10.1,5.0,6.6,3.4,4.7,3.7,3.4,6.6,3.8,6.6,6.1,3.2,,3.9,3.8,4.2,2.9
204,2001-03-31,2001Q1,3.0,2.2,3.6,2.6,7.7,4.4,4.0,3.0,5.6,1.7,3.1,7.1,3.4,7.1,2.5,4.4,2.3,3.5,1.1,3.4,2.5
205,2001-06-30,2001Q2,1.5,1.5,2.2,1.5,5.2,3.9,3.3,2.0,4.3,3.7,2.3,6.2,2.6,5.6,2.6,9.2,-3.0,2.7,2.9,3.2,2.6
206,2001-09-30,2001Q3,0.5,0.9,5.2,1.4,6.0,3.9,2.4,1.7,4.1,3.4,1.8,3.9,1.3,6.7,2.5,3.8,1.1,2.1,1.5,2.6,2.4
207,2001-12-31,2001Q4,0.2,-0.2,4.8,1.5,5.2,3.4,0.9,0.7,2.9,3.4,1.3,5.2,0.2,7.1,4.6,7.8,-3.1,1.1,2.3,2.5,4.2
208,2002-03-31,2002Q1,1.5,0.6,4.3,-1.0,4.4,2.9,1.1,0.7,2.5,4.5,0.4,5.0,-0.5,4.9,3.2,5.8,2.5,0.4,2.9,3.2,3.9
209,2002-06-30,2002Q2,1.8,1.4,5.3,-0.4,7.9,2.9,2.0,1.2,5.0,4.9,0.9,4.1,-0.1,7.8,6.3,5.7,3.8,0.3,1.3,2.6,3.9
210,2002-09-30,2002Q3,1.7,2.2,1.5,0.3,7.9,2.5,1.1,1.0,3.9,6.3,1.1,6.8,0.4,7.1,3.2,9.3,2.3,0.1,0.5,3.0,5.8
211,2002-12-31,2002Q4,0.9,2.6,4.0,0.3,7.1,2.7,2.6,1.6,4.5,7.1,1.3,6.4,1.2,6.3,0.3,9.5,2.3,0.2,-1.6,3.9,4.1
212,2003-03-31,2003Q1,0.1,1.5,3.5,-0.6,8.8,3.2,1.1,1.3,5.8,6.3,0.9,4.3,0.6,10.9,-0.2,9.9,2.2,0.6,-1.6,2.7,5.2
213,2003-06-30,2003Q2,0.7,0.9,1.1,-0.8,7.6,2.7,1.7,0.4,5.3,6.4,0.4,3.9,0.2,9.6,0.5,7.7,3.5,-0.1,-1.9,3.4,5.6
214,2003-09-30,2003Q3,1.5,0.7,3.6,-0.6,6.5,2.9,3.1,1.0,5.3,5.0,0.6,2.6,-0.3,10.6,3.0,9.5,3.9,-0.2,-0.6,3.5,3.7
215,2003-12-31,2003Q4,2.1,1.1,2.3,-0.2,8.4,3.0,2.1,1.3,6.8,4.6,1.0,6.5,0.1,10.9,7.2,7.1,5.0,0.4,0.4,2.9,4.9
216,2004-03-31,2004Q1,2.0,2.8,4.4,1.0,8.5,2.6,4.2,2.1,6.5,4.8,1.9,6.3,0.9,6.6,6.8,9.9,2.6,1.1,1.3,4.3,5.0
217,2004-06-30,2004Q2,2.3,3.6,5.7,1.5,5.3,3.3,3.5,2.9,4.6,3.5,2.5,8.5,1.4,7.2,4.2,8.8,-2.4,2.0,2.8,4.0,4.2
218,2004-09-30,2004Q3,2.7,4.1,5.0,0.2,6.6,3.4,3.5,2.3,5.4,3.7,2.1,6.9,1.7,5.4,5.6,7.3,-0.2,2.2,2.0,4.0,6.3
219,2004-12-31,2004Q4,2.8,3.7,5.0,0.1,6.1,3.2,4.8,2.8,2.8,4.6,1.8,4.2,1.0,6.1,0.8,8.9,1.9,1.8,1.2,3.9,6.1
220,2005-03-31,2005Q1,2.9,2.7,5.2,0.4,5.5,3.6,4.5,2.0,0.3,1.6,1.5,6.5,0.4,7.9,0.5,7.9,-0.8,1.1,1.1,3.4,5.7
221,2005-06-30,2005Q2,2.4,2.4,4.9,0.4,10.4,3.4,2.4,1.8,0.6,5.3,1.6,5.8,1.0,6.8,1.3,10.2,6.3,1.5,0.8,4.1,7.2
222,2005-09-30,2005Q3,1.6,1.9,4.9,1.5,10.6,3.5,2.7,2.2,0.6,5.5,2.1,5.7,1.5,9.0,0.9,13.3,4.1,2.6,0.3,4.1,6.5
223,2005-12-31,2005Q4,2.7,2.3,4.4,2.0,10.8,3.8,1.5,2.0,1.5,4.7,2.4,6.5,1.7,9.0,7.3,14.1,1.9,3.1,1.0,5.1,6.5
224,2006-03-31,2006Q1,3.4,2.4,4.4,2.9,11.4,4.1,3.0,2.6,5.5,6.6,3.1,6.0,2.1,6.3,8.2,12.7,3.4,3.4,0.9,5.4,8.1
225,2006-06-30,2006Q2,3.3,2.1,5.3,4.1,9.4,4.1,4.5,3.6,5.5,4.2,3.5,4.5,1.6,8.2,7.4,13.1,2.4,4.2,1.5,6.0,8.5
226,2006-09-30,2006Q3,3.6,2.6,4.5,4.0,9.3,4.1,4.0,2.9,4.6,4.7,3.3,6.4,1.4,7.1,6.2,12.2,2.1,3.4,1.8,6.7,8.8
227,2006-12-31,2006Q4,3.5,3.0,4.7,5.1,9.5,4.0,4.6,2.7,6.7,4.8,3.8,3.6,2.4,7.7,2.5,13.5,1.7,3.6,2.3,7.3,10.2
228,2007-03-31,2007Q1,3.7,3.8,5.4,4.1,10.6,3.7,4.0,3.0,2.5,6.6,3.6,7.6,1.9,11.0,7.4,15.1,7.0,4.2,2.6,7.9,9.6
229,2007-06-30,2007Q2,4.3,3.9,4.3,3.1,8.7,3.7,5.6,2.4,5.2,5.9,3.1,5.6,1.8,11.0,9.8,12.9,4.7,3.2,2.0,7.4,9.6
230,2007-09-30,2007Q3,4.2,3.8,4.9,2.8,6.5,3.5,5.6,2.6,4.0,4.6,2.9,2.2,1.5,12.0,8.1,10.9,5.1,3.8,2.4,7.7,10.1
231,2007-12-31,2007Q4,2.7,3.1,5.8,2.0,3.3,3.2,6.1,2.1,1.0,3.1,2.3,5.4,-0.1,10.4,7.1,4.6,3.4,4.4,3.0,6.1,13.8
232,2008-03-31,2008Q1,3.6,2.1,4.7,2.5,-2.2,2.4,3.9,1.9,2.4,3.7,2.2,-2.4,1.1,6.8,3.6,3.4,4.1,3.9,1.7,5.7,8.2
233,2008-06-30,2008Q2,2.2,1.7,5.0,1.5,-1.6,1.6,1.3,0.5,-1.1,3.2,1.1,-3.5,-0.1,4.4,-0.1,-1.0,3.9,3.4,0.9,5.1,6.9
234,2008-09-30,2008Q3,1.0,0.3,3.7,0.4,-1.8,0.6,0.7,0.0,-0.6,1.4,0.1,-1.6,-1.6,0.2,-0.2,-6.3,3.4,2.0,0.5,2.9,5.9
235,2008-12-31,2008Q4,-1.3,-2.3,1.2,-1.8,-12.9,-1.5,-2.7,-1.3,-1.5,-0.5,-2.1,-9.7,-3.7,-2.3,-4.5,-8.1,6.2,-0.6,-1.9,-1.4,0.8
236,2009-03-31,2009Q1,-4.7,-3.6,-1.4,-7.0,-13.3,-4.4,-8.9,-4.0,-6.8,-7.6,-5.7,-7.8,-7.0,-14.0,-7.5,-14.0,-2.2,-3.5,-4.4,-7.7,-6.2
237,2009-06-30,2009Q2,-4.7,-3.5,-2.8,-6.4,-17.1,-4.3,-8.6,-3.2,-3.6,-7.7,-5.3,-5.9,-6.7,-15.3,-5.0,-17.2,-1.9,-4.5,-3.8,-9.3,-5.8
238,2009-09-30,2009Q3,-3.6,-1.6,-2.7,-5.4,-18.6,-3.9,-8.1,-2.8,-4.2,-7.4,-4.4,-6.2,-5.0,-14.1,-2.5,-17.9,-1.5,-4.2,-2.8,-9.0,-5.4
239,2009-12-31,2009Q4,-1.2,1.3,-1.1,-3.1,-7.2,-2.4,-6.7,-0.8,-2.7,-4.4,-2.3,-3.6,-2.5,-14.6,2.2,-14.8,0.1,-2.5,-1.5,-5.8,-4.6
240,2010-03-31,2010Q1,-0.2,2.7,1.4,2.4,-3.7,0.1,0.7,1.4,-3.6,-0.9,1.2,-0.5,0.4,-2.0,5.7,-10.1,7.4,-0.2,1.9,-0.6,7.9
241,2010-06-30,2010Q2,1.7,3.5,2.2,4.3,1.3,0.2,4.0,1.7,-9.6,-2.4,2.2,-0.4,1.6,-0.3,5.3,-4.8,5.2,1.7,2.2,1.5,7.4
242,2010-09-30,2010Q3,2.3,2.4,3.0,4.7,4.8,-0.1,2.5,2.2,-12.0,0.0,2.3,1.0,1.6,0.1,2.1,-0.2,6.8,1.7,1.7,1.4,6.7
243,2010-12-31,2010Q4,3.2,2.3,2.6,4.6,6.6,0.1,5.5,2.0,-12.6,-2.0,2.4,3.1,2.3,3.4,1.8,0.1,5.4,1.9,1.2,1.9,5.3
244,2011-03-31,2011Q1,4.6,2.6,1.9,5.7,8.2,0.1,5.0,3.1,-11.1,-1.3,3.0,1.6,2.3,5.8,1.7,-0.6,1.3,3.0,-0.2,2.7,3.3
245,2011-06-30,2011Q2,3.1,1.9,1.7,3.7,8.0,-0.3,1.8,2.6,-9.3,1.5,2.0,3.1,1.5,7.2,-0.6,2.9,1.6,2.0,-1.2,0.8,2.7
246,2011-09-30,2011Q3,2.6,1.8,-1.0,3.3,7.8,-0.8,2.5,2.3,-8.2,-0.4,1.6,0.9,0.8,6.4,1.9,5.0,0.5,1.8,-2.3,0.5,2.0
247,2011-12-31,2011Q4,2.0,1.4,-0.9,2.6,5.4,-1.5,0.4,2.0,-12.0,0.0,0.6,1.4,-1.1,6.0,1.0,4.5,0.7,0.4,-3.1,0.2,2.2
